Origin Time UTC,Local Time,Mag,Type,Latitude,Longitude,Depth (km),Region Name,Status,Last Update
2016/04/19 08:19:33,2016/04/19 03:19:33,3.4,M,0.02,-80.99,4,Near Coast of Ecuador,M,2016/04/19 08:23:51
2016/04/19 07:44:36,2016/04/19 02:44:36,4.0,M,-0.15,-80.82,7,Near Coast of Ecuador,M,2016/04/19 07:50:20
2016/04/19 07:24:24,2016/04/19 02:24:24,3.6,M,-1.14,-81.27,15,Off Coast of Ecuador,M,2016/04/19 07:34:48
2016/04/19 04:23:54,2016/04/18 23:23:54,3.9,M,0.05,-80.80,7,Near Coast of Ecuador,M,2016/04/19 05:09:38
2016/04/19 04:00:31,2016/04/18 23:00:31,3.6,M,-0.08,-80.85,7,Near Coast of Ecuador,M,2016/04/19 04:07:54
2016/04/19 03:57:09,2016/04/18 22:57:09,4.0,M,-0.01,-80.80,5,Near Coast of Ecuador,M,2016/04/19 04:03:01
2016/04/19 02:44:41,2016/04/18 21:44:41,3.5,M,0.80,-80.50,5,Near Coast of Ecuador,M,2016/04/19 02:57:25
2016/04/19 02:11:14,2016/04/18 21:11:14,3.4,M,-0.06,-80.90,7,Near Coast of Ecuador,M,2016/04/19 02:15:49
2016/04/19 02:03:16,2016/04/18 21:03:16,4.0,M,-0.05,-80.76,10,Near Coast of Ecuador,M,2016/04/19 02:09:38
2016/04/19 01:43:10,2016/04/18 20:43:10,3.9,M,-0.75,-81.03,10,Off Coast of Ecuador,M,2016/04/19 01:48:58
2016/04/19 00:47:34,2016/04/18 19:47:34,3.2,M,0.45,-80.43,10,Near Coast of Ecuador,M,2016/04/19 00:56:20
2016/04/18 23:08:09,2016/04/18 18:08:09,3.3,M,0.48,-80.72,-,Near Coast of Ecuador,M,2016/04/18 23:43:46
2016/04/18 22:48:34,2016/04/18 17:48:34,3.1,M,0.67,-79.83,10,Near Coast of Ecuador,M,2016/04/18 23:16:44
2016/04/18 22:24:33,2016/04/18 17:24:33,3.7,M,0.58,-80.08,3,Near Coast of Ecuador,M,2016/04/18 22:29:50
2016/04/18 22:22:52,2016/04/18 17:22:52,3.2,M,0.64,-79.99,2,Near Coast of Ecuador,M,2016/04/18 22:27:00
2016/04/18 22:06:39,2016/04/18 17:06:39,3.4,M,-0.32,-80.37,3,Ecuador - Manabi,M,2016/04/18 22:11:59
2016/04/18 22:01:26,2016/04/18 17:01:26,3.8,M,-0.32,-80.39,20,Ecuador - Manabi,M,2016/04/18 22:07:55
2016/04/18 21:58:09,2016/04/18 16:58:09,3.3,M,-0.25,-80.57,15,Near Coast of Ecuador,M,2016/04/18 22:04:04
2016/04/18 21:46:16,2016/04/18 16:46:16,3.8,M,-0.01,-80.10,10,Ecuador - Manabi,M,2016/04/18 21:50:02
2016/04/18 21:15:54,2016/04/18 16:15:54,5.4,M,0.09,-80.73,11,Near Coast of Ecuador,M,2016/04/18 23:39:37
2016/04/18 21:13:55,2016/04/18 16:13:55,3.2,M,0.72,-80.15,10,Near Coast of Ecuador,M,2016/04/18 21:32:52
2016/04/18 21:11:10,2016/04/18 16:11:10,3.3,M,0.60,-80.31,8,Near Coast of Ecuador,M,2016/04/18 21:33:32
2016/04/18 20:51:32,2016/04/18 15:51:32,3.6,M,0.67,-80.16,10,Near Coast of Ecuador,M,2016/04/18 20:56:52
2016/04/18 20:00:46,2016/04/18 15:00:46,4.4,M,-0.16,-80.86,16,Near Coast of Ecuador,M,2016/04/18 20:06:42
2016/04/18 19:55:53,2016/04/18 14:55:53,3.5,M,-0.45,-80.39,3,Ecuador - Manabi,M,2016/04/18 20:11:32
2016/04/18 19:21:21,2016/04/18 14:21:21,3.7,M,-0.87,-80.96,5,Near Coast of Ecuador,M,2016/04/18 19:26:38
2016/04/18 19:12:35,2016/04/18 14:12:35,5.1,M,-0.83,-81.18,10,Off Coast of Ecuador,M,2016/04/18 19:19:16
2016/04/18 19:04:49,2016/04/18 14:04:49,3.6,M,0.61,-80.29,8,Near Coast of Ecuador,M,2016/04/18 19:10:15
2016/04/18 18:48:48,2016/04/18 13:48:48,4.0,M,0.07,-80.95,8,Near Coast of Ecuador,M,2016/04/18 19:02:04
2016/04/18 18:38:10,2016/04/18 13:38:10,5.6,M,-0.93,-80.99,0,Near Coast of Ecuador,M,2016/04/18 20:53:55
2016/04/18 17:57:08,2016/04/18 12:57:08,3.5,M,-0.03,-80.62,7,Near Coast of Ecuador,M,2016/04/18 18:01:06
2016/04/18 17:42:53,2016/04/18 12:42:53,3.1,M,0.07,-79.99,29,Near Coast of Ecuador,M,2016/04/18 17:50:35
2016/04/18 17:07:38,2016/04/18 12:07:38,4.5,M,-0.17,-80.24,6,Ecuador - Manabi,M,2016/04/18 17:13:07
2016/04/18 16:51:29,2016/04/18 11:51:29,3.5,M,-0.05,-80.23,8,Near Coast of Ecuador,M,2016/04/18 16:58:38
2016/04/18 16:34:14,2016/04/18 11:34:14,3.4,M,0.63,-79.84,5,Near Coast of Ecuador,M,2016/04/18 16:37:45
2016/04/18 15:57:23,2016/04/18 10:57:23,3.4,M,-0.72,-80.60,5,Near Coast of Ecuador,M,2016/04/18 16:06:22
2016/04/18 15:48:46,2016/04/18 10:48:46,3.8,M,-0.81,-80.83,5,Near Coast of Ecuador,M,2016/04/18 16:00:54
2016/04/18 15:07:18,2016/04/18 10:07:18,3.9,M,-1.30,-80.83,6,Ecuador - Manabi,M,2016/04/18 15:15:33
2016/04/18 14:59:41,2016/04/18 09:59:41,3.6,M,-0.03,-80.22,6,Near Coast of Ecuador,M,2016/04/18 15:04:43
2016/04/18 14:11:20,2016/04/18 09:11:20,3.6,M,-0.04,-80.80,1,Near Coast of Ecuador,M,2016/04/18 15:55:45
2016/04/18 13:35:12,2016/04/18 08:35:12,4.2,M,-0.18,-80.26,7,Ecuador - Manabi,M,2016/04/18 13:38:21
2016/04/18 13:25:45,2016/04/18 08:25:45,5.1,M,-0.25,-80.42,9,Near Coast of Ecuador,M,2016/04/18 13:31:37
2016/04/18 12:26:07,2016/04/18 07:26:07,3.4,M,0.03,-80.84,6,Near Coast of Ecuador,M,2016/04/18 12:38:01
2016/04/18 12:17:02,2016/04/18 07:17:02,3.7,M,0.59,-80.06,3,Near Coast of Ecuador,M,2016/04/18 12:27:11
2016/04/18 12:14:03,2016/04/18 07:14:03,3.4,M,-0.05,-80.29,10,Near Coast of Ecuador,M,2016/04/18 12:35:01
2016/04/18 12:09:32,2016/04/18 07:09:32,4.2,M,-0.85,-80.91,5,Near Coast of Ecuador,M,2016/04/18 12:21:50
2016/04/18 11:56:38,2016/04/18 06:56:38,3.5,M,0.67,-80.24,10,Near Coast of Ecuador,M,2016/04/18 12:05:03
2016/04/18 11:38:38,2016/04/18 06:38:38,3.1,M,0.66,-80.15,4,Near Coast of Ecuador,M,2016/04/18 11:42:58
2016/04/18 11:30:47,2016/04/18 06:30:47,3.0,M,0.16,-79.93,15,Near Coast of Ecuador,M,2016/04/18 11:37:37
2016/04/18 11:11:18,2016/04/18 06:11:18,3.5,M,0.55,-80.06,5,Near Coast of Ecuador,M,2016/04/18 11:27:43
2016/04/18 10:32:14,2016/04/18 05:32:14,3.0,M,0.14,-79.31,21,Ecuador - Pichincha,M,2016/04/18 11:30:54
2016/04/18 10:29:08,2016/04/18 05:29:08,4.6,M,-0.05,-80.28,5,Near Coast of Ecuador,M,2016/04/18 11:03:01
